nombre,descripcion o especificaciones,categoria,marca,stock,sku,alto,ancho,largo,peso,precio,precio oferta,link imagen
PNY Geforce GTX 1660 super 6GB DDR6,Geforce GTX 1660 super 6GB DDR6,Tarjeta Grafica,PNY,1,,,,,,"$ 6,400.00","$ 6,200.00",
PNY Geforce GTx 1650 super 4GB DDR6,Geforce GTX 1650 super 4GB DDR6,Tarjeta Grafica,PNY,5,,,,,,"$ 4,350.00","$ 4,199.00",
Saphire Pulse RX 5500 XT 4GB DDR6,Spahire 4.0,Tarjeta Grafica,SAPPHIRE,1,,,,,,"$ 5,090.00","$ 4,550.00",
Saphire Pulse RX 5500 XT 8GB DDR6,SAPPHIRE 8GB DDR6 PCIe 4.0,Tarjeta Grafica,SAPPHIRE,1,,,,,,"$ 6,100.00","$ 5,500.00",
CRUCIAL NVME 500 GB,M.2 PCIe 3.0 500GB CT500P188D8,Almacenamiento,CRUCIAL,5,,,,,,"$ 1,650.00","$ 1,599.00",
SSD M.2 120GB Kingston,Kingston SUV500M8,Almacenamiento,Kingston,3,,,,,,$ 700.00,$ 620.00,
"SSD 480 GB 2.5""",SSD 450 SU630,Almacenamiento,ADATA,1,,,,,,"$ 1,350.00","$ 1,200.00",
"SSD 480 WD GREEN 2.5""",WD Green WDS480G2G0A,Almacenamiento,WD,5,,,,,,"$ 1,350.00","$ 1,200.00",
SSD 240GB ADATA,SU630 SSD 240GB,Almacenamiento,ADATA,3,,,,,,$ 720.00,$ 680.00,
SSD 120GB ADATA,SU650 SSD 120GB,Almacenamiento,ADATA,3,,,,,,$ 650.00,$ 550.00,
HDD 1TB,WD BLUE,Almacenamiento,WD,3,,,,,,"$ 1,050.00",$ 950.00,
HDD 2TB,WD PURPLE,Almacenamiento,WD,1,,,,,,"$ 1,600.00","$ 1,500.00",
Corsair CX450M 80 PLUS BRONZE,Corsair CX450M,Fuente Poder,Corsair,3,,,,,,"$ 1,450.00","$ 1,300.00",
Cooler Master 500W 80 PLUS WHITE,Cooler Master 500W,Fuente Poder,Cooler Master,2,,,,,,"$ 1,450.00","$ 1,300.00",
YEYIAN RAIDEN 650W 80 PLUS BRONZE,YEYIAN RAIDEN 650W,Fuente Poder,YEYIAN,1,,,,,,"$ 1,450.00","$ 1,300.00",
Acteck Integra 500W,Acteck R-500,Fuente Poder,ACTECK,1,,,,,,$ 550.00,$ 500.00,
Corsair CX650 80 Plus Bronze,Corsair CX650 80 Plus Bronze,Fuente Poder,CORSAIR,5,,,,,,"$ 1,800.00","$ 1,650.00",
smartbit 1100W,1100W,Regulador,SMARBIT,2,,,,,,$ 500.00,$ 390.00,
HP ADVANGE 2134,Impresora,Impresora,HP,2,,,,,,$ 900.00,$ 700.00,
ECS A320AM4-M3D,TARJETA MADRE,tarjeta Madre,ECS,3,,,,,,"$ 1,450.00","$ 1,300.00",
Gigabyte B450M-H,Tarjeta madre AM4 para RYZEN,TA,GIGABYTE,2,,,,,,"$ 2,100.00","$ 2,000.00",
AORUS B450 AORUS ELITE,Tarjeta madre AM4 para RYZEN,tarjeta Madre,AORUS,1,,,,,,"$ 3,500.00","$ 3,350.00",
GIGABYTE B450GAMING X,Tarjeta madre AM4 para RYZEN,TARJETA MADRE,GIGABYTE,2,,,,,,"$ 2,999.00","$ 3,500.00",
ROG STRIX B450-F GAMING,Tarjeta madre AM4 para RYZEN,TARJETA MADRE,ASUS,2,,,,,,"$ 3,700.00","$ 3,350.00",
ASUS PRIME B550M-A,Tarjeta madre AM4 para RYZEN,tarjeta Madre,ASUS,2,,,,,,"$ 3,850.00","$ 3,400.00",
AORUS B550M AORUS ELITE,Tarjeta madre AM4 para RYZEN,taRJETA MADRE,AORUS,1,,,,,,"$ 3,999.00","$ 3,400.00",
BIOSTAR H310M,TARJETA MADRE INTEL SOCKET 1151,TARJETA MADRE,BIOSTAR,2,,,,,,"$ 1,350.00","$ 1,200.00",
ASROCK H410M-HDV,TARJETA MADRE INTEL SOCKET 1151,TARJETA MADRE,ASROCK,4,,,,,,"$ 1,599.00","$ 1,450.00",
ECS B365H5-M16,TARJETA MADRE INTEL SOCKET 1151,tarjeta Madre,ECS,2,,,,,,"$ 1,800.00","$ 1,720.00",
RYZEN 3 3100 3.6GHZ,RYZEN 3 3100 3.6GHZ SOCKET AM4,PROCESADOR,RYZEN,4,,,,,,"$ 2,850.00","$ 2,650.00",
RYZEN 5 3600 3.6GHZ,RYZEN 5 3600 3.6GHZ SOCKET AM4,PROCESADOR,RYZEN,2,,,,,,"$ 5,670.00","$ 5,300.00",
RYZEN 5 3400G 3.7GHZ,RYZEN 5 3400G 3.7 Ghgz Socket AM4,PROCESADOR,RYZEN,2,,,,,,"$ 4,700.00","$ 4,380.00",
INTEL CORE I3 9100F 3.6GHZ,INTEL CORE I3 9100F 3.6GHZ SOCKET 1151,PROCESADOR,INTEL,1,,,,,,"$ 2,100.00","$ 1,899.00",
INTEL CORE I3 10100 3.6GHZ,INTEL CORE I3 10100 3.6GHZ SOCKET 1151,PROCESADOR,INTEL,3,,,,,,"$ 2,950.00","$ 2,735.00",
INTEL CORE I5 9400 2.9GHZ,INTEL CORE I5 9400 2.9GHZ SOCKET 1151,PROCESADOR,INTEL,1,,,,,,"$ 4,350.00","$ 4,060.00",
DDR4 4GB 2400MHZ,DDR4 4GB 2400MHZ KINGSTON,MEMORIA RAM,KINGSTON,4,,,,,,$ 520.00,$ 445.00,
HYPERX Fury DDR4 8GB 2666MHZ,HYPERX DDR4 8GB 2666MHZ,MEMORIA RAM,Kingston,6,,,,,,$ 820.00,$ 780.00,
XPG 8GB DDR4 3000MHZ GAMMIX D10 NEGRO,XPG 8GB DDR4 3000MHZ GAMMIX D10 NEGRA,MEMORIA RAM,ADATA,4,,,,,,$ 850.00,$ 820.00,
XPG 8GB DDR4 3200MHZ GAMMIX D30,XPG 8GB DDR4 3200MHZ GAMMIX D30,MEMORIA RAM,ADATA,4,,,,,,$ 900.00,$ 880.00,
XPG 8GB DDR4 3200MHZ D41 RED,XPG 8GB DDR4 3200MHZ D41 RED,MEMORIA RAM,ADATA,2,,,,,,"$ 1,250.00","$ 1,200.00",
XPG 8GB DDR4 3000MHZ SPECTRIX D60G,XPG 8GB DDR4 3000MHZ SPECTRIX D60G,MEMORIA RAM,ADATA,1,,,,,,"$ 1,000.00",$ 920.00,
XPG 16GB DDR4 3200MHZ GAMMIX D30,XPG 16GB DDR4 3200MHZ GAMMIX D30,MEMORIA RAM,ADATA,2,,,,,,"$ 1,650.00","$ 1,600.00",
MOUSE LOGITECH M90,MOUSE LOGITECH M90 ALAMBRICO,MOUSE,Logitech,3,,,,,,$ 100.00,$ 90.00,
MOUSE YEYIAN LINKS 3000,MOUSE YEYIAN LINKS 3000 ALAMBRICO,MOUSE,YEYIAN,4,,,,,,$ 565.00,$ 499.00,
MOUSE CORSAIR M55 RGB PRO,MOUSE CORSAIR M55 RGB PRO,MOUSE,CORSAIR,3,,,,,,$ 850.00,$ 799.00,
MOUSE ACTECK R100,MOUSE ACTECK INALAMBRICO,MOUSE,ACTECK,1,,,,,,$ 140.00,$ 120.00,
MOUSE INALAMBRICO M187,MOUSE INALAMBRICO M187 LOGITECH,MOUSE,LOGITECH,2,,,,,,$ 250.00,$ 220.00,
YEYIAN ARMAGGEDON 2200,,GABINETE,YEYIAN,3,,,,,,"$ 1,650.00","$ 1,599.00",
SERIE 100 VORAGO 500W,GABINETE 500w,GABINETE,VORAGO,3,,,,,,$ 680.00,$ 620.00,
ACTECK KIRUNA,ACTECK KIRUNA 500W,GABINETE,ACTECK,1,,,,,,$ 800.00,$ 750.00,
YEYIAN STAHL 900,YEYIAN STAHL 900 SIN FUENTE,GABINETE,YEYIAN,6,,,,,,$ 700.00,$ 620.00,
OCELOT OGMC02,GABINETE OCELOT,GABINETE,OCELOT,1,,,,,,"$ 1,200.00","$ 1,099.00",
ACTECK INTEGRA X RGB 5500,ACTECK 5500 500W,GABINETE,ACTECK,3,,,,,,$ 800.00,$ 740.00,
XZEAL XZ10,SILLA GAMER,SILLA,XZEAL,4,,,,,,"$ 4,500.00","$ 4,090.00",
YEYIAN CADIRA 1150,SILLA GAMER,SILLA,YEYIAN,2,,,,,,"$ 4,500.00","$ 4,200.00",
